blabla,cycle_number,policy,IR,QD,Discharge_time,Qdlin_mean,Qdlin_first,Qdlin_last,Qdlin_median,Qdlin_25p,Qdlin_75p,Qdlin_0.1,Qdlin_0.9,Vdlin_mean,Vdlin_first,Vdlin_last,Tdlin_mean,Tdlin_first,Tdlin_last
2018-12-21T08:00:00Z,438,3,0.019218624,0.93977582,11.503518333333588,0.5509009954718908,0.00036294473,0.84380955,0.7399182942083906,0.1194592173219805,0.829345337379427,246,0,2.75,3.5,2.0,35.36847819908963,30.341303,38.802608
2018-12-21T09:00:00Z,649,4,0.015047961,1.0383887,13.77363166666667,0.7047024719081196,8.3995874e-06,1.0104315,0.9334726571681689,0.3985925587172832,0.9958976790638401,215,434,2.75,3.5,2.0,37.36753921050169,34.22842984504116,39.25697056792589
2018-12-21T10:00:00Z,135,4,0.015297232,1.0603635,14.189818333332855,0.7291715206876916,0.00089327013,1.0409418,0.9794342845958173,0.3887322291660176,1.0276402607845578,218,383,2.75,3.5,2.0,35.5004701416459,31.19057051590261,37.7325623186319
2018-12-21T11:00:00Z,287,3,0.017490599,1.0305818,13.126241666666708,0.640696385842357,1.8890914e-05,0.96289486,0.8541377828636056,0.2072095840960511,0.94972247,236,600,2.75,3.5,2.0,35.24723679208802,30.202694,38.596771
2018-12-21T12:00:00Z,497,3,0.019623036,0.89866453,10.739716666666695,0.5162276933018467,0.00029464852,0.78752589,0.697744002129447,0.1078861787796222,0.77282292,249,0,2.75,3.5,2.0,34.73966966093023,30.422276,37.691437
2018-12-21T13:00:00Z,253,3,0.016624726,1.0660436,14.148431666666635,0.7053656965509001,0.00075166824,1.0382615,0.9468417936182578,0.29922441,1.017233591776004,226,431,2.75,3.5,2.0,33.72106093858103,29.659355,36.233131
2018-12-21T14:00:00Z,205,5,0.016176077,1.0750148,14.167896666666877,0.7177780286762768,0.00054606621,1.0395062,0.9575890921429386,0.3647863978894714,1.0226081489763075,219,405,2.75,3.5,2.0,34.902434313722424,31.401573,37.022469
2018-12-21T15:00:00Z,720,3,0.017109636,1.0062015,12.803116666667243,0.6313952531641405,0.00013458014,0.9387567,0.845581710106917,0.23314263,0.9214254,231,672,2.75,3.5,2.0,33.615435455790966,29.690292,36.141876
2018-12-21T16:00:00Z,541,3,0.016805213,1.0663913,14.20841000000025,0.7212852317313138,0.00067206367,1.0420003,0.9675922973716151,0.3607634,1.0225385,220,398,2.75,3.5,2.0,33.09322883368696,30.086969,34.811348
2018-12-21T17:00:00Z,696,4,0.015686421,1.0432775,13.652304999999853,0.6861581871181729,0.00085282011,1.0018539,0.9089214433879819,0.3292621456691778,0.9888520078558141,225,481,2.75,3.5,2.0,36.57592119194429,32.25290026736958,39.07850627334703
2018-12-21T18:00:00Z,311,4,0.017531633,1.0528435,13.487263333333246,0.6718586380811893,0.00049086718,0.98928624,0.9002569125688458,0.27888552128438954,0.9725245955740451,228,500,2.75,3.5,2.0,33.15259687900511,29.839174,35.210995
2018-12-21T19:00:00Z,650,5,0.017784111,0.95890743,11.952028333333384,0.5861282404873371,0.00056163291,0.87687933,0.7872053384189623,0.19504076,0.8623870655068502,235,0,2.75,3.5,2.0,34.11340559305379,30.747864,36.393452
2018-12-21T20:00:00Z
